Cep,Rua,Complemento,Bairro,Cidade
38406-388,Alameda Um,,Aclimação,Uberlândia/MG
38406-382,Avenida Aniceto Maccheroni,,Aclimação,Uberlândia/MG
38406-052,Avenida Sebastião Manoel Barbosa,,Aclimação,Uberlândia/MG
38406-016,Avenida Sete,,Aclimação,Uberlândia/MG
38406-010,Córrego do Buriti,,Aclimação,Uberlândia/MG
38406-019,Praça Durval Gomes Xavier,,Aclimação,Uberlândia/MG
38406-094,Rua Abnidis Borges,,Aclimação,Uberlândia/MG
38406-385,Rua Adhemar de Barros,,Aclimação,Uberlândia/MG
38406-061,Rua Ana Lucas de Almeida,,Aclimação,Uberlândia/MG
38406-064,Rua Antônio Francisco Rosa,,Aclimação,Uberlândia/MG
38406-020,Rua Antônio Jorge Hubaide,,Aclimação,Uberlândia/MG
38406-025,Rua Antônio Kavamoto,,Aclimação,Uberlândia/MG
38406-073,Rua Antônio Matos,,Aclimação,Uberlândia/MG
38406-031,Rua Artur de Barros,,Aclimação,Uberlândia/MG
38406-067,Rua Braz Sátiro de Souza,,Aclimação,Uberlândia/MG
38406-082,Rua Carolina Maria Ferreira,,Aclimação,Uberlândia/MG
38406-043,Rua Cláudio Ferreira de Abreu,,Aclimação,Uberlândia/MG
38406-097,Rua Cleomar de Souza,,Aclimação,Uberlândia/MG
38406-381,Rua dos Expedicionário,,Aclimação,Uberlândia/MG
38406-079,Rua Euclides Alves,,Aclimação,Uberlândia/MG
38406-178,Rua Euclides Ferreira Tavares,,Aclimação,Uberlândia/MG
38406-008,Rua Firmino Grama,,Aclimação,Uberlândia/MG
38406-394,Rua Gago Coutinho,,Aclimação,Uberlândia/MG
38406-034,Rua Geraldo Rodrigues de Queiroz,,Aclimação,Uberlândia/MG
38406-046,Rua Gonçalo Patrício Navarro Silveira,,Aclimação,Uberlândia/MG
38406-007,Rua Gustavo José da Silva,,Aclimação,Uberlândia/MG
38406-058,Rua Irmãos Maristas,,Aclimação,Uberlândia/MG
38406-085,Rua Jair Antônio Felipe,,Aclimação,Uberlândia/MG
38406-070,Rua João Pedro Ferreira,,Aclimação,Uberlândia/MG
38406-055,Rua João Vital Ferreira,,Aclimação,Uberlândia/MG
38406-028,Rua Joaquim Elias Rodrigues,,Aclimação,Uberlândia/MG
38406-384,Rua Joaquim Ferreira Cruz,,Aclimação,Uberlândia/MG
38406-076,Rua José Evaristo Gonçalves,,Aclimação,Uberlândia/MG
38406-037,Rua José Flores,,Aclimação,Uberlândia/MG
38406-091,Rua José Pedro,,Aclimação,Uberlândia/MG
38406-022,Rua Laurindo Ferreira da Fonseca,,Aclimação,Uberlândia/MG
38406-013,Rua Luiz Ferreira da Fonseca,,Aclimação,Uberlândia/MG
38406-049,Rua Mamede José Beicker,,Aclimação,Uberlândia/MG
38406-088,Rua Maria Pontes Magahães,,Aclimação,Uberlândia/MG
38406-391,Rua Mário Rezende do Vale,,Aclimação,Uberlândia/MG
