ID_VivaReal,UnitType,ListingType,State,City,Neighborhood,Street,StreetNumber,ZipCode,Title,ExternalId,Price,Iptu,CondominiumFee,UsableAreas,Bedrooms,Bathrooms,Suites,ParkingSpaces,Status,Amenties,Description,CreatedAt,Floors,Advertiser_Name,Advertiser_License,Advertiser_Phone_Primary,Advertiser_Phone_Mobile,Url_Place
2662430355,APARTMENT,USED,Minas Gerais,Uberlândia,Tabajaras,Rua Santa Helena,2997,38400298,Apartamento para venda possui 110 metros quadrados com 3 quartos em Tabajaras - Uberlândia - MG,117HGOL,295000,1,1,110,3,2,1,2,ACTIVE,,O apartamento no bairro Tabajaras possui 110 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros<br><br>* Apartamento com sala em 02 ambientes<br>* Sacada<br>* Hall com roupeiro<br>* 03 quartos com armários sendo 01 suíte<br>* Banheiro social com armários<br>* Espelhos e banheira<br>* Cozinha com bancada em granito e armário<br>* Lavanderia separada com estendal<br>* 02 vagas de garagens em linha com entrada independente e portão eletrônico<br>* Condomínio com salão de festa e alarme nos portões .<br>!!! Não tem elevador !!! -,2023-10-16T00:18:37.511Z,[],JOSE LUIZ PARREIRA GARCIA,18109-F-MG,34996825041,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-tabajaras-bairros-uberlandia-com-garagem-110m2-venda-RS295000-id-2662430355/
2614608496,APARTMENT,DEVELOPMENT,Minas Gerais,Uberlândia,Chácaras Tubalina e Quartel,Rua Dimas Machado,S/N,38413291,Pallace Planalto,Pallace Planalto,219000,0,0,52,2,2,1,1,ACTIVE,,"APROVEITE ESTA OPORTUNIDADE!<br>Apartamentos financiados pelo Programa Minha Casa Minha Vida com excelente localização no Bairro Planalto. Unidade de 52 a 79m², 2 quartos sendo 1 suíte e excelente condição de lançamento. Até R$ 47.000,00 de subsídio e entrada facilitada. <br>Saia já do aluguel, consulte as condições de lançamento com nossos corretores especialistas. <br><br>Obs: As condições aqui ofertadas poderão sofrer alterações a qualquer tempo sem prévio aviso.<br><br>Elevadores, piscina, playground, salão de festas, quadra poliesportiva.",2023-02-23T19:18:38.721Z,[],DELTA IMOVEIS,01873-J-MG,3432309900,3432309900,https://www.vivareal.com.br/imoveis-lancamento/pallace-planalto-2614608496/
2662646481,APARTMENT,USED,Minas Gerais,Uberlândia,Novo Mundo,Rua Los Angeles,9999,38407742,Apartamento para venda possui 60 metros quadrados com 3 quartos em Novo Mundo - Uberlândia - MG,D7UF7B,160000,200,220,52,3,1,,1,ACTIVE,,"O apartamento no bairro Novo Mundo possui 60 metros quadrados com 3 quartos e 1 banheiro<br>Possui salão para festas e eventos, área de brinquedo para as crianças.Encontra-se em um condomínio protegido por muros.",2023-10-16T21:28:20.291Z,[],JOSE LUIZ PARREIRA GARCIA,18109-F-MG,34996825041,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-santa-monica-bairros-uberlandia-com-garagem-52m2-venda-RS160000-id-2662646481/
2662375789,APARTMENT,USED,Minas Gerais,Uberlândia,Jardim Karaíba,Rua José Elias,40,38411201,Apartamento para venda tem 108 metros quadrados com 3 quartos em Jardim Karaíba - Uberlândia - MG,1DPGOL,1100000,1200,670,108,3,4,3,2,ACTIVE,,"Apartamento Alto Padrão a venda no Condomínio Torres do Sul!<br><br>São 108m de área privativa! Apartamento todo remodelado e reformado, trocado todos os acabamentos e modificação de paredes etc!<br><br>São três suítes, todas repletas de armários com painéis e cabeceiras, ar condicionado split nas três suítes, banheiros todos com armários planejados e com blindex, sala em três ambientes bem amplos, com ar condicionado split, sistema de som bluetooth completo embutido no teto pelo gesso, painel com TV, ampla área goumert com churrasqueira, lavabo, cozinha em estilo americana montada com armários, com bancadas modificadas, lavanderia separada montada com armários, área técnica para ar condicionado.<br>Projeto de iluminação e gesso em alto padrão!<br><br>Apartamento será vendido como está nas fotos, com todos armários embutidos, móveis soltos, decoração, eletrodomésticos etc! PORTEIRA FECHADA!<br><br>Condomínio com total infraestrutura de lazer e segurança, com portaria 24h, e um lazer sem igual!",2023-10-15T14:40:25.121Z,[],JOSE LUIZ PARREIRA GARCIA,18109-F-MG,34996825041,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-morada-da-colina-bairros-uberlandia-com-garagem-108m2-venda-RS1100000-id-2662375789/
2662385653,APARTMENT,USED,Minas Gerais,Uberlândia,Morada da Colina,Avenida Liberdade,1977,38411002,Apartamento para venda tem 128 metros quadrados com 3 quartos,BE7795,599997,,,128,3,3,2,2,ACTIVE,,"O apartamento no bairro Copacabana tem 128 metros quadrados com 3 quartos sendo 2 suites e 3 banheiros<br><br>Apartamento Copacabana <br>São 3/4, sendo 2 suítes <br>Sala em 2 ambientes <br>Área gourmet integrada <br>Cozinha ampla <br>Lavanderia <br>Elevador<br>2 vagas livres de garagem <br><br>128 m² de área privativa <br><br>#copacabana #minasgerais🔺 #uberlandia #zonasul #luxo #apartamento #praiaclubeoficial",2023-10-15T16:08:53.778Z,[],JOSE LUIZ PARREIRA GARCIA,18109-F-MG,34996825041,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-copacabana-bairros-uberlandia-com-garagem-128m2-venda-RS599997-id-2662385653/
2660295668,APARTMENT,USED,Minas Gerais,Uberlândia,Novo Mundo,Rua Austin,,38407746,"Apartamento à venda, 2 quartos, 1 suíte, 1 vaga, NOVO MUNDO - Uberlândia/MG",13979,260000,0,60,60,2,2,1,1,ACTIVE,,"Apartamento localizado no bairro Novo Mundo, com aproximadamente 60m² de área privativa, com aquecedor nos chuveiros, sendo 02 quartos (01 com armário e 01 suíte), banheiro social e suíte com armários e box, sala em dois ambientes com painel, cozinha, área de serviço, varanda em L de 13,5m², 01 vaga de garagem.",2023-10-06T05:57:29.130Z,[0],ARANTES IMOVEIS,03959-J-SP,3432283999,34996873647,https://www.vivareal.com.br/imovel/apartamento-2-quartos-novo-mundo-bairros-uberlandia-com-garagem-60m2-venda-RS260000-id-2660295668/
2661504576,APARTMENT,USED,Minas Gerais,Uberlândia,Novo Mundo,Rua Santina Zanatta,139,38409047,"Apartamento, 2 quartos, 56m², Novo Mundo, Uberlândia/MG",654,275000,250,150,56,2,2,1,1,ACTIVE,,"EDIFÍCIO ÁGATA - Excelente oportunidade para quem procura moradia no Bairro Novo Mundo em Uberlândia/MG. Imóvel de médio padrão com ótimo acabamento, localizado na Rua Santina Zanatta. Apartamento com 2 quartos, sendo 1 suíte com armários embutidos, corredor de acesso aos cômodos, sala espaçosa, 2 banheiros, imóvel com sacada, cozinha com armários planejados, área de serviço e lavanderia. Unidade bem arejado. Piso em porcelanato. Iluminação em LED, local calmo e seguro, área privativa de 56m², 1 vaga de garagem. Condomínio fechado, imóvel localizado no 3º andar, sem elevador, portaria eletrônica, permite animais. Ótima localização, com toda rede de serviços e lazer que a região oferece. Apartamento localizado próximo ao Supermercado Vida Nova, farmácia, academia e ponto de ônibus. Não perca tempo, agenda uma visita com um de nossos corretores! Conheça esse lindo apartamento e tenha uma vida feliz e confortável. Proprietário aceita permuta. <br><br>Características do imóvel<br>Acabamentos de alto padrão<br>Aceita animal<br>Aceita FGTS<br>Acessibilidade<br>Acesso 24 horas<br>Alvenaria<br>Ambientes integrados<br>Área de serviço<br>Automação predial<br>Cabeamento estruturado<br>Cimentado antiderrapante<br>Concreto com pintura<br>Concreto impermeabilizado<br>Concreto polido<br>Cozinha<br>infraestrutura internet<br>INFRAESTRUTURA PARA AUTOMAÇÃO<br>INFRAESTRUTURA PARA AUTOMAÇÃO<br>INFRAESTRUTURA PARA AUTOMAÇÃO<br>interfone<br>Isolamento acústico<br>Lâmpadas frias<br>Marcenaria<br>Piso frio<br>Porcelanato<br>Preço promocional<br>Pronta entrega!<br>Pronto para morar<br>Rede de telefone<br>sala ampla<br>Sala de jantar<br>Sensor de presença nos halls<br>Sistema de intercomunicação predial entre os apartamentos<br>Teto rebaixado em gesso<br>Teto rebaixado em gesso com led<br>Vaga na escritura<br>vista livre<br><br>Mais informações em www.luizcortesimoveis.com.br",2023-10-11T14:46:40.806Z,[],Luiz Cortes,51960-F-MG,34991532223,21965295978,https://www.vivareal.com.br/imovel/apartamento-2-quartos-novo-mundo-bairros-uberlandia-com-garagem-56m2-venda-RS275000-id-2661504576/
2662097958,APARTMENT,USED,Minas Gerais,Uberlândia,Marta Helena,Rua Padre Américo Ceppi,,38402251,"Apartamento à venda, 2 quartos, 1 vaga, MARTA HELENA - Uberlândia/MG",14043,185000,0,170,42,2,1,0,1,ACTIVE,,"Apartamento localizado no bairro Marta Helena, com aproximadamente 42m² de área privativa, com 02 quartos, banheiro social com box, sala, cozinha estilo americana, área de serviço independente, 01 vaga de garagem. Condomínio conta com elevador.",2023-10-14T06:22:51.055Z,[4],ARANTES IMOVEIS,03959-J-SP,3432283999,34996873647,https://www.vivareal.com.br/imovel/apartamento-2-quartos-marta-helena-bairros-uberlandia-com-garagem-42m2-venda-RS185000-id-2662097958/
2628283862,APARTMENT,DEVELOPMENT,Minas Gerais,Uberlândia,Presidente Roosevelt,Avenida Moacir Lopes de Carvalho,417,38401080,Elisios Residence,Elisios Residence,300000,0,0,62,2,1,1,,ACTIVE,,"LANÇAMENTO! Condomínio Clube de alto padrão no Bairro Roosevelt, a 400m da Praça Paris. Apartamentos de 2 ou 3 quartos com localização privilegiada em um dos bairros mais buscados na Zona Norte da cidade. Um empreendimento que traz conforto e uma planta bem distribuída. Conta com portaria 24h, zen plaza, salão de festas, piscina com deck, quadra poliesportiva, espaço gourmet no rooftop com lounge externo e playground. <br><br>A 400m da Praça Paris <br><br>portaria 24h, zen plaza, salão de festas, piscina com deck, quadra poliesportiva, espaço gourmet no rooftop com lounge externo e playground.",2023-04-25T13:13:33.215Z,[],DELTA IMOVEIS,01873-J-MG,3432309900,3432309900,https://www.vivareal.com.br/imoveis-lancamento/elisios-residence-2628283862/
2662242657,APARTMENT,USED,Minas Gerais,Uberlândia,Jardim Europa,Rua Marco Aurelio Resende dos Santos,10,38414678,Otimo apartamento 2 quartos com suíte e elevador no Jardim Europa,E400115,220000,,209,51,2,2,1,1,ACTIVE,,"*51 m²<br>*Sala em 2 ambientes com sacada<br>*Cozinha com armário sob a pia<br>*2 quartos sendo 1 suíte<br>*Banheiro social<br>*Área de serviço<br>*Vaga para 1 carro<br>*Elevador<br>*Piso cerâmica<br>*Condomínio com varanda gourmet com churrasqueira<br>*Portaria 24hs<br><br>Condomínio: R$209,00 (gás e água inclusos)<br><br>R$ 220.000,00",2023-10-14T22:17:32.462Z,[],Estilo Imobiliária,,3432353000,34997673333,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-europa-bairros-uberlandia-com-garagem-51m2-venda-RS220000-id-2662242657/
